"Prediction","Reference","Freq","Model"
"Gt30","Gt30",546,"Logistic Regression"
"Lt30","Gt30",1,"Logistic Regression"
"No","Gt30",1192,"Logistic Regression"
"Gt30","Lt30",201,"Logistic Regression"
"Lt30","Lt30",0,"Logistic Regression"
"No","Lt30",378,"Logistic Regression"
"Gt30","No",398,"Logistic Regression"
"Lt30","No",0,"Logistic Regression"
"No","No",2283,"Logistic Regression"
"Gt30","Gt30",544,"LDA"
"Lt30","Gt30",2,"LDA"
"No","Gt30",1193,"LDA"
"Gt30","Lt30",203,"LDA"
"Lt30","Lt30",0,"LDA"
"No","Lt30",376,"LDA"
"Gt30","No",396,"LDA"
"Lt30","No",1,"LDA"
"No","No",2284,"LDA"
"Gt30","Gt30",518,"PLS-DA"
"Lt30","Gt30",0,"PLS-DA"
"No","Gt30",1221,"PLS-DA"
"Gt30","Lt30",187,"PLS-DA"
"Lt30","Lt30",0,"PLS-DA"
"No","Lt30",392,"PLS-DA"
"Gt30","No",369,"PLS-DA"
"Lt30","No",0,"PLS-DA"
"No","No",2312,"PLS-DA"
"Gt30","Gt30",542,"Lasso"
"Lt30","Gt30",0,"Lasso"
"No","Gt30",1197,"Lasso"
"Gt30","Lt30",201,"Lasso"
"Lt30","Lt30",0,"Lasso"
"No","Lt30",378,"Lasso"
"Gt30","No",396,"Lasso"
"Lt30","No",0,"Lasso"
"No","No",2285,"Lasso"
"Gt30","Gt30",494,"Ridge"
"Lt30","Gt30",0,"Ridge"
"No","Gt30",1245,"Ridge"
"Gt30","Lt30",182,"Ridge"
"Lt30","Lt30",0,"Ridge"
"No","Lt30",397,"Ridge"
"Gt30","No",348,"Ridge"
"Lt30","No",0,"Ridge"
"No","No",2333,"Ridge"
"Gt30","Gt30",494,"Elastic Net"
"Lt30","Gt30",0,"Elastic Net"
"No","Gt30",1245,"Elastic Net"
"Gt30","Lt30",182,"Elastic Net"
"Lt30","Lt30",0,"Elastic Net"
"No","Lt30",397,"Elastic Net"
"Gt30","No",348,"Elastic Net"
"Lt30","No",0,"Elastic Net"
"No","No",2333,"Elastic Net"
"Gt30","Gt30",592,"NDA"
"Lt30","Gt30",2,"NDA"
"No","Gt30",1145,"NDA"
"Gt30","Lt30",216,"NDA"
"Lt30","Lt30",2,"NDA"
"No","Lt30",361,"NDA"
"Gt30","No",427,"NDA"
"Lt30","No",2,"NDA"
"No","No",2252,"NDA"
"Gt30","Gt30",581,"Neural Network"
"Lt30","Gt30",0,"Neural Network"
"No","Gt30",1158,"Neural Network"
"Gt30","Lt30",214,"Neural Network"
"Lt30","Lt30",0,"Neural Network"
"No","Lt30",365,"Neural Network"
"Gt30","No",423,"Neural Network"
"Lt30","No",0,"Neural Network"
"No","No",2258,"Neural Network"
"Gt30","Gt30",525,"FDA"
"Lt30","Gt30",41,"FDA"
"No","Gt30",1173,"FDA"
"Gt30","Lt30",174,"FDA"
"Lt30","Lt30",29,"FDA"
"No","Lt30",376,"FDA"
"Gt30","No",353,"FDA"
"Lt30","No",22,"FDA"
"No","No",2306,"FDA"
"Gt30","Gt30",521,"SVM (RBF)"
"Lt30","Gt30",0,"SVM (RBF)"
"No","Gt30",1218,"SVM (RBF)"
"Gt30","Lt30",167,"SVM (RBF)"
"Lt30","Lt30",0,"SVM (RBF)"
"No","Lt30",412,"SVM (RBF)"
"Gt30","No",339,"SVM (RBF)"
"Lt30","No",0,"SVM (RBF)"
"No","No",2342,"SVM (RBF)"
"Gt30","Gt30",400,"KNN"
"Lt30","Gt30",2,"KNN"
"No","Gt30",1337,"KNN"
"Gt30","Lt30",136,"KNN"
"Lt30","Lt30",0,"KNN"
"No","Lt30",443,"KNN"
"Gt30","No",306,"KNN"
"Lt30","No",3,"KNN"
"No","No",2372,"KNN"
"Gt30","Gt30",1,"Naive Bayes"
"Lt30","Gt30",0,"Naive Bayes"
"No","Gt30",1738,"Naive Bayes"
"Gt30","Lt30",0,"Naive Bayes"
"Lt30","Lt30",0,"Naive Bayes"
"No","Lt30",579,"Naive Bayes"
"Gt30","No",0,"Naive Bayes"
"Lt30","No",0,"Naive Bayes"
"No","No",2681,"Naive Bayes"
