"Prediction","Reference","Freq","Model"
"Gt30","Gt30",499,"Logistic Regression"
"Lt30","Gt30",579,"Logistic Regression"
"No","Gt30",661,"Logistic Regression"
"Gt30","Lt30",139,"Logistic Regression"
"Lt30","Lt30",236,"Logistic Regression"
"No","Lt30",204,"Logistic Regression"
"Gt30","No",464,"Logistic Regression"
"Lt30","No",600,"Logistic Regression"
"No","No",1617,"Logistic Regression"
"Gt30","Gt30",514,"LDA"
"Lt30","Gt30",585,"LDA"
"No","Gt30",640,"LDA"
"Gt30","Lt30",145,"LDA"
"Lt30","Lt30",231,"LDA"
"No","Lt30",203,"LDA"
"Gt30","No",466,"LDA"
"Lt30","No",611,"LDA"
"No","No",1604,"LDA"
"Gt30","Gt30",411,"PLS-DA"
"Lt30","Gt30",606,"PLS-DA"
"No","Gt30",722,"PLS-DA"
"Gt30","Lt30",122,"PLS-DA"
"Lt30","Lt30",239,"PLS-DA"
"No","Lt30",218,"PLS-DA"
"Gt30","No",381,"PLS-DA"
"Lt30","No",629,"PLS-DA"
"No","No",1671,"PLS-DA"
"Gt30","Gt30",430,"Lasso"
"Lt30","Gt30",329,"Lasso"
"No","Gt30",980,"Lasso"
"Gt30","Lt30",149,"Lasso"
"Lt30","Lt30",133,"Lasso"
"No","Lt30",297,"Lasso"
"Gt30","No",320,"Lasso"
"Lt30","No",328,"Lasso"
"No","No",2033,"Lasso"
"Gt30","Gt30",490,"Ridge"
"Lt30","Gt30",590,"Ridge"
"No","Gt30",659,"Ridge"
"Gt30","Lt30",140,"Ridge"
"Lt30","Lt30",231,"Ridge"
"No","Lt30",208,"Ridge"
"Gt30","No",455,"Ridge"
"Lt30","No",604,"Ridge"
"No","No",1622,"Ridge"
"Gt30","Gt30",267,"Elastic Net"
"Lt30","Gt30",492,"Elastic Net"
"No","Gt30",980,"Elastic Net"
"Gt30","Lt30",89,"Elastic Net"
"Lt30","Lt30",193,"Elastic Net"
"No","Lt30",297,"Elastic Net"
"Gt30","No",253,"Elastic Net"
"Lt30","No",395,"Elastic Net"
"No","No",2033,"Elastic Net"
"Gt30","Gt30",504,"NDA"
"Lt30","Gt30",604,"NDA"
"No","Gt30",631,"NDA"
"Gt30","Lt30",150,"NDA"
"Lt30","Lt30",245,"NDA"
"No","Lt30",184,"NDA"
"Gt30","No",486,"NDA"
"Lt30","No",634,"NDA"
"No","No",1561,"NDA"
"Gt30","Gt30",240,"FDA"
"Lt30","Gt30",560,"FDA"
"No","Gt30",939,"FDA"
"Gt30","Lt30",69,"FDA"
"Lt30","Lt30",236,"FDA"
"No","Lt30",274,"FDA"
"Gt30","No",222,"FDA"
"Lt30","No",440,"FDA"
"No","No",2019,"FDA"
"Gt30","Gt30",537,"KNN"
"Lt30","Gt30",690,"KNN"
"No","Gt30",512,"KNN"
"Gt30","Lt30",154,"KNN"
"Lt30","Lt30",250,"KNN"
"No","Lt30",175,"KNN"
"Gt30","No",640,"KNN"
"Lt30","No",841,"KNN"
"No","No",1200,"KNN"
"Gt30","Gt30",311,"Naive Bayes"
"Lt30","Gt30",779,"Naive Bayes"
"No","Gt30",649,"Naive Bayes"
"Gt30","Lt30",74,"Naive Bayes"
"Lt30","Lt30",302,"Naive Bayes"
"No","Lt30",203,"Naive Bayes"
"Gt30","No",345,"Naive Bayes"
"Lt30","No",847,"Naive Bayes"
"No","No",1489,"Naive Bayes"
