"Model","Class","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Logistic Regression","Class: Gt30",0.313973548016101,0.816257668711656,0.476855895196507,0.690451478982875,0.476855895196507,0.313973548016101,0.378640776699029,0.347869573914783,0.109221844368874,0.229045809161832,0.565115608363879
"Logistic Regression","Class: Lt30",0,0.999773755656109,0,0.884153661464586,0,0,NA,0.115823164632927,0,0.0002000400080016,0.499886877828054
"Logistic Regression","Class: No",0.851547929876912,0.322691975841242,0.592525304957176,0.652705061082025,0.592525304957176,0.851547929876912,0.69880624426079,0.53630726145229,0.456691338267654,0.770754150830166,0.587119952859077
"LDA","Class: Gt30",0.312823461759632,0.816257668711656,0.47594050743657,0.690093360995851,0.47594050743657,0.312823461759632,0.377515614156835,0.347869573914783,0.108821764352871,0.228645729145829,0.564540565235644
"LDA","Class: Lt30",0,0.999321266968326,0,0.884107285828663,0,0,NA,0.115823164632927,0,0.000600120024004801,0.499660633484163
"LDA","Class: No",0.851920925027975,0.323123382226057,0.592784842979497,0.653577661431065,0.592784842979497,0.851920925027975,0.699112335475972,0.53630726145229,0.456891378275655,0.770754150830166,0.587522153627016
"PLS-DA","Class: Gt30",0.297872340425532,0.829447852760736,0.482309124767225,0.688917197452229,0.482309124767225,0.297872340425532,0.368290081763242,0.347869573914783,0.103620724144829,0.214842968593719,0.563660096593134
"PLS-DA","Class: Lt30",0,1,NA,0.884176835367073,NA,0,NA,0.115823164632927,0,0,0.5
"PLS-DA","Class: No",0.86236478925774,0.304141501294219,0.589044585987261,0.656424581005587,0.589044585987261,0.86236478925774,0.699969724492885,0.53630726145229,0.4624924984997,0.785157031406281,0.583253145275979
"Lasso","Class: Gt30",0.311673375503163,0.816871165644172,0.47585601404741,0.689896373056995,0.47585601404741,0.311673375503163,0.376650451702571,0.347869573914783,0.108421684336867,0.227845569113823,0.564272270573667
"Lasso","Class: Lt30",0,1,NA,0.884176835367073,NA,0,NA,0.115823164632927,0,0,0.5
"Lasso","Class: No",0.852293920179038,0.32053494391717,0.591968911917098,0.652326602282704,0.591968911917098,0.852293920179038,0.698669928145544,0.53630726145229,0.457091418283657,0.772154430886177,0.586414432048104
"Ridge","Class: Gt30",0.284071305347901,0.837423312883436,0.482421875,0.686792452830189,0.482421875,0.284071305347901,0.357582338038364,0.347869573914783,0.0988197639527906,0.204840968193639,0.560747309115668
"Ridge","Class: Lt30",0,1,NA,0.884176835367073,NA,0,NA,0.115823164632927,0,0,0.5
