"Model","Class","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Logistic Regression","Class: Gt30",0.286946520989074,0.815030674846626,0.452813067150635,0.681806517834232,0.452813067150635,0.286946520989074,0.351284758887716,0.347869573914783,0.0998199639927986,0.220444088817764,0.55098859791785
"Logistic Regression","Class: Lt30",0.407599309153713,0.733257918552036,0.16678445229682,0.904296875,0.16678445229682,0.407599309153713,0.236710130391174,0.115823164632927,0.0472094418883777,0.283056611322264,0.570428613852875
"Logistic Regression","Class: No",0.60313315926893,0.626833477135462,0.651490733279613,0.577274533174414,0.651490733279613,0.60313315926893,0.626380011621151,0.53630726145229,0.323464692938588,0.496499299859972,0.614983318202196
"LDA","Class: Gt30",0.295572167912593,0.812576687116564,0.456888888888889,0.683789364997419,0.456888888888889,0.295572167912593,0.358938547486033,0.347869573914783,0.102820564112823,0.2250450090018,0.554074427514579
"LDA","Class: Lt30",0.398963730569948,0.729411764705882,0.16187806587246,0.902575587905935,0.16187806587246,0.398963730569948,0.230309072781655,0.115823164632927,0.0462092418483697,0.285457091418284,0.564187747637915
"LDA","Class: No",0.59828422230511,0.63632441760138,0.655496526358807,0.577978056426332,0.655496526358807,0.59828422230511,0.625585023400936,0.53630726145229,0.320864172834567,0.489497899579916,0.617304319953245
"PLS-DA","Class: Gt30",0.236342725704428,0.845705521472393,0.449671772428884,0.674908200734394,0.449671772428884,0.236342725704428,0.3098379193366,0.347869573914783,0.0822164432886577,0.182836567313463,0.54102412358841
"PLS-DA","Class: Lt30",0.412780656303972,0.720588235294118,0.162143826322931,0.90354609929078,0.162143826322931,0.412780656303972,0.232830004870921,0.115823164632927,0.0478095619123825,0.294858971794359,0.566684445799045
"PLS-DA","Class: No",0.623274897426333,0.594477998274374,0.639984680199157,0.577051926298157,0.639984680199157,0.623274897426333,0.631519274376417,0.53630726145229,0.334266853370674,0.522304460892178,0.608876447850354
"Lasso","Class: Gt30",0.247268545140886,0.856134969325153,0.478309232480534,0.680731707317073,0.478309232480534,0.247268545140886,0.326004548900682,0.347869573914783,0.0860172034406881,0.179835967193439,0.55170175723302
"Lasso","Class: Lt30",0.229706390328152,0.851357466063348,0.168354430379747,0.894036588263245,0.168354430379747,0.229706390328152,0.194302410518627,0.115823164632927,0.0266053210642128,0.158031606321264,0.54053192819575
"Lasso","Class: No",0.758299142111153,0.44909404659189,0.614199395770393,0.616341030195382,0.614199395770393,0.758299142111153,0.678684693707228,0.53630726145229,0.406681336267253,0.662132426485297,0.603696594351521
"Ridge","Class: Gt30",0.281771132834963,0.817484662576687,0.451612903225807,0.680889115993868,0.451612903225806,0.281771132834963,0.347025495750708,0.347869573914783,0.0980196039207842,0.217043408681736,0.549627897705825
"Ridge","Class: Lt30",0.398963730569948,0.729864253393665,0.162105263157895,0.902630106323447,0.162105263157895,0.398963730569948,0.230538922155689,0.115823164632927,0.0462092418483697,0.28505701140228,0.564413991981807
"Ridge","Class: No",0.604998135024245,0.625970664365833,0.65166733627963,0.57808764940239,0.65166733627963,0.604998135024245,0.627466150870406,0.53630726145229,0.324464892978596,0.497899579915983,0.615484399695039
"Elastic Net","Class: Gt30",0.153536515238643,0.895092024539877,0.438423645320197,0.664692482915718,0.438423645320197,0.153536515238643,0.227427597955707,0.347869573914783,0.0534106821364273,0.121824364872975,0.52431426988926
"Elastic Net","Class: Lt30",0.333333333333333,0.799321266968326,0.178703703703704,0.901505486093391,0.178703703703704,0.333333333333333,0.232670283303195,0.115823164632927,0.0386077215443089,0.216043208641728,0.56632730015083
"Elastic Net","Class: No",0.758299142111153,0.44909404659189,0.614199395770393,0.616341030195382,0.614199395770393,0.758299142111153,0.678684693707228,0.53630726145229,0.406681336267253,0.662132426485297,0.603696594351521
"NDA","Class: Gt30",0.289821736630247,0.804907975460123,0.442105263157895,0.679968903861104,0.442105263157895,0.289821736630247,0.35012156998958,0.347869573914783,0.100820164032807,0.228045609121824,0.547364856045185
"NDA","Class: Lt30",0.42314335060449,0.719909502262443,0.165205664194201,0.905005688282139,0.165205664194201,0.42314335060449,0.237633365664404,0.115823164632927,0.0490098019603921,0.296659331866373,0.571526426433467
"NDA","Class: No",0.5822454308094,0.648403796376186,0.656986531986532,0.573008006099886,0.656986531986532,0.5822454308094,0.617362072374926,0.53630726145229,0.312262452490498,0.475295059011802,0.615324613592793
"FDA","Class: Gt30",0.138010350776308,0.910736196319018,0.451977401129943,0.664503133393017,0.451977401129944,0.138010350776308,0.211453744493392,0.347869573914783,0.0480096019203841,0.10622124424885,0.524373273547663
"FDA","Class: Lt30",0.407599309153713,0.773755656108597,0.190938511326861,0.908849322349189,0.190938511326861,0.407599309153713,0.260055096418733,0.115823164632927,0.0472094418883777,0.247249449889978,0.590677482631155
"FDA","Class: No",0.75307720999627,0.476704055220017,0.624690594059406,0.625353706847765,0.624690594059406,0.75307720999627,0.682902080162354,0.53630726145229,0.403880776155231,0.646529305861172,0.614890632608144
"KNN","Class: Gt30",0.30879815986199,0.756441717791411,0.403456048084147,0.672300981461287,0.403456048084147,0.30879815986199,0.349837133550489,0.347869573914783,0.107421484296859,0.26625325065013,0.5326199388267
