"Variable","Before","After","Delta"
"number_emergency",31.7546194935614,2.49524411933861,-29.2593753742227
"number_outpatient",9.26429823633817,1.81038753047703,-7.45391070586114
"number_inpatient",3.64882090966472,0.679292491455118,-2.9695284182096
"discharge_disposition_id",2.53507437506189,0.50130662469967,-2.03376775036222
"admission_type_id",1.61175446129465,0.324394144444753,-1.2873603168499
"num_medications",1.32715097727932,-0.0449373535880125,-1.37208833086733
"num_procedures",1.31871424092082,-0.151730906741147,-1.47044514766197
"time_in_hospital",1.12566273915833,-0.209403133724279,-1.33506587288261
"admission_source_id",1.02691094442401,-0.19753279011637,-1.22444373454038
"number_diagnoses",-0.901881155531319,-0.409617136771174,0.492264018760145
"num_lab_procedures",-0.237231322959631,-0.237231322959631,2.77555756156289e-17
