"Model","Class","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Logistic Regression","Class: Gt30",0.284646348476136,0.802760736196319,0.434973637961336,0.677803677803678,0.434973637961336,0.284646348476136,0.344108446298227,0.347869573914783,0.0990198039607922,0.227645529105821,0.543703542336227
"Logistic Regression","Class: Lt30",0.398963730569948,0.734162895927602,0.164295874822191,0.903145004174784,0.164295874822191,0.398963730569948,0.232745591939547,0.115823164632927,0.0462092418483697,0.28125625125025,0.566563313248775
"Logistic Regression","Class: No",0.592316299888101,0.625970664365833,0.646843177189409,0.570361635220126,0.646843177189409,0.592316299888101,0.618380062305296,0.53630726145229,0.317663532706541,0.491098219643929,0.609143482126967
"LDA","Class: Gt30",0.287521564117309,0.806748466257669,0.442477876106195,0.679762212458,0.442477876106195,0.287521564117309,0.348553502962705,0.347869573914783,0.1000200040008,0.226045209041808,0.547135015187489
"LDA","Class: Lt30",0.414507772020725,0.727601809954751,0.166204986149584,0.90464135021097,0.166204986149584,0.414507772020725,0.237271379139891,0.115823164632927,0.0480096019203841,0.288857771554311,0.571054790987738
"LDA","Class: No",0.589332338679597,0.635461604831752,0.651546391752577,0.572261072261072,0.651546391752577,0.589332338679597,0.618879749314532,0.53630726145229,0.316063212642529,0.485097019403881,0.612396971755674
"PLS-DA","Class: Gt30",0.24036802760207,0.84478527607362,0.452380952380952,0.675828220858896,0.452380952380952,0.24036802760207,0.313931656027037,0.347869573914783,0.0836167233446689,0.184836967393479,0.542576651837845
"PLS-DA","Class: Lt30",0.424870466321244,0.722171945701357,0.166892808683853,0.905531914893617,0.166892808683853,0.424870466321244,0.239649293716512,0.115823164632927,0.0492098419683937,0.294858971794359,0.573521206011301
"PLS-DA","Class: No",0.621036926519955,0.596203623813632,0.640138408304498,0.576313594662219,0.640138408304498,0.621036926519955,0.630443014009845,0.53630726145229,0.333066613322665,0.520304060812162,0.608620275166794
"Lasso","Class: Gt30",0.247268545140886,0.856134969325153,0.478309232480534,0.680731707317073,0.478309232480534,0.247268545140886,0.326004548900682,0.347869573914783,0.0860172034406881,0.179835967193439,0.55170175723302
"Lasso","Class: Lt30",0.229706390328152,0.851357466063348,0.168354430379747,0.894036588263245,0.168354430379747,0.229706390328152,0.194302410518627,0.115823164632927,0.0266053210642128,0.158031606321264,0.54053192819575
"Lasso","Class: No",0.758299142111153,0.44909404659189,0.614199395770393,0.616341030195382,0.614199395770393,0.758299142111153,0.678684693707228,0.53630726145229,0.406681336267253,0.662132426485297,0.603696594351521
"Ridge","Class: Gt30",0.282346175963197,0.819018404907976,0.454209065679926,0.681470137825421,0.454209065679926,0.282346175963197,0.34822695035461,0.347869573914783,0.0982196439287858,0.21624324864973,0.550682290435586
"Ridge","Class: Lt30",0.411053540587219,0.726470588235294,0.164478230822391,0.903997747747748,0.164478230822391,0.411053540587219,0.234945705824284,0.115823164632927,0.0476095219043809,0.289457891578316,0.568762064411257
"Ridge","Class: No",0.601268183513614,0.629421915444349,0.652367462565763,0.577136075949367,0.652367462565763,0.601268183513614,0.625776397515528,0.53630726145229,0.32246449289858,0.494298859771954,0.615345049478981
"Elastic Net","Class: Gt30",0.117883841288097,0.926687116564417,0.461711711711712,0.663227222832053,0.461711711711712,0.117883841288097,0.187814933577645,0.347869573914783,0.0410082016403281,0.0888177635527105,0.522285478926257
"Elastic Net","Class: Lt30",0.421416234887737,0.725565610859728,0.167467398764585,0.905420666290231,0.167467398764585,0.421416234887737,0.239685658153242,0.115823164632927,0.0488097619523905,0.291458291658332,0.573490922873733
